Code,Country,Birth_Rate,Internet_Users,Group
ISL,Iceland,13.4,96.5468,4
BMU,Bermuda,10.4,95.3,4
NOR,Norway,11.6,95.0534,4
SWE,Sweden,11.8,94.7836,4
DNK,Denmark,10.0,94.6297,4
NLD,Netherlands,10.2,93.9564,4
LIE,Liechtenstein,9.2,93.8,4
LUX,Luxembourg,11.3,93.7765,4
FIN,Finland,10.7,91.5144,4
BHR,Bahrain,15.04,90.0000397,4
GBR,United Kingdom,12.2,89.8441,4
JPN,Japan,8.2,89.71,4
ARE,United Arab Emirates,11.044,88.0,4
CHE,Switzerland,10.2,86.34,4
CAN,Canada,10.9,85.8,4
QAT,Qatar,11.94,85.3,4
KOR,"Korea, Rep.",8.6,84.77,4
USA,United States,12.5,84.2,4
DEU,Germany,8.5,84.17,4
AUS,Australia,13.2,83.0,4
NZL,New Zealand,13.12,82.78,4
BEL,Belgium,11.2,82.1702,4
FRA,France,12.3,81.9198,4
SGP,Singapore,9.3,81.0,4
AUT,Austria,9.4,80.6188,4
EST,Estonia,10.3,79.4,4
ABW,Aruba,10.244,78.9,4
IRL,Ireland,15.0,78.2477,4
SVK,Slovak Republic,10.1,77.8826,4
KWT,Kuwait,20.575,75.46,4
LVA,Latvia,10.2,75.2344,4
HKG,"Hong Kong SAR, China",7.9,74.2,4
CZE,Czech Republic,10.2,74.1104,4
CYM,Cayman Islands,12.5,74.1,4
PRI,Puerto Rico,10.8,73.9,4
BRB,Barbados,12.188,73.0,4
SVN,Slovenia,10.2,72.6756,4
HUN,Hungary,9.2,72.6439,4
BHS,"Bahamas, The",15.339,72.0,4
ESP,Spain,9.1,71.635,4
ISR,Israel,21.3,70.8,4
LBN,Lebanon,13.426,70.5,3
MLT,Malta,9.5,68.9138,4
LTU,Lithuania,10.1,68.4529,4
RUS,Russian Federation,13.2,67.97,4
MYS,Malaysia,16.805,66.97,3
HRV,Croatia,9.4,66.7476,4
CHL,Chile,13.385,66.5,4
OMN,Oman,20.419,66.45,4
NCL,New Caledonia,17.0,66.0,4
GRL,Greenland,14.5,65.8,4
MAC,"Macao SAR, China",11.256,65.8,4
CYP,Cyprus,11.436,65.4548,4
GUM,Guam,17.389,65.4,4
MKD,"Macedonia, FYR",11.222,65.24,3
BRN,Brunei Darussalam,16.405,64.5,4
TTO,Trinidad and Tobago,14.59,63.8,4
ATG,Antigua and Barbuda,16.447,63.4,4
POL,Poland,9.6,62.8492,4
PRT,Portugal,7.9,62.0956,4
SAU,Saudi Arabia,20.576,60.5,4
MNE,Montenegro,11.616,60.31,3
ARG,Argentina,17.716,59.9,4
GRC,Greece,8.5,59.8663,4
AZE,Azerbaijan,18.3,58.7,3
ITA,Italy,8.5,58.4593,4
BIH,Bosnia and Herzegovina,9.062,57.79,3
URY,Uruguay,14.374,57.69,4
ALB,Albania,12.877,57.2,3
PYF,French Polynesia,16.393,56.8,4
MAR,Morocco,21.023,56.0,2
VEN,"Venezuela, RB",19.842,54.9,4
BLR,Belarus,12.5,54.17,3
KAZ,Kazakhstan,22.73,54.0,3
BGR,Bulgaria,9.2,53.0615,3
VCT,St. Vincent and the Grenadines,16.306,52.0,3
COL,Colombia,16.076,51.7,3
SRB,Serbia,9.2,51.5,3
BRA,Brazil,14.931,51.04,3
SYC,Seychelles,18.6,50.4,4
ROU,Romania,8.8,49.7645,3
PSE,West Bank and Gaza,30.394,46.6,2
ZAF,South Africa,20.85,46.5,3
TUR,Turkey,16.836,46.25,3
LCA,St. Lucia,15.43,46.2,3
CRI,Costa Rica,15.022,45.96,3
DOM,Dominican Republic,21.198,45.9,3
CHN,China,12.1,45.8,3
VIR,Virgin Islands (U.S.),10.7,45.3,4
MDA,Moldova,12.141,45.0,2
MDV,Maldives,21.447,44.1,3
PAN,Panama,19.68,44.03,3
VNM,Vietnam,15.537,43.9,2
TUN,Tunisia,19.8,43.8,3
MEX,Mexico,19.104,43.46,3
GEO,Georgia,13.332,43.3,2
ARM,Armenia,13.308,41.9,2
JOR,Jordan,27.046,41.0,3
UKR,Ukraine,11.1,41.0,2
ECU,Ecuador,21.07,40.35368423,3
PER,Peru,20.198,39.2,3
MUS,Mauritius,10.9,39.0,3
KEN,Kenya,35.194,39.0,2
UZB,Uzbekistan,22.5,38.2,2
NGA,Nigeria,40.045,38.0,2
CPV,Cabo Verde,21.625,37.5,2
SUR,Suriname,18.455,37.4,3
JAM,Jamaica,13.54,37.1,3
FJI,Fiji,20.463,37.1,3
PHL,Philippines,23.79,37.0,2
BOL,Bolivia,24.236,36.94,2
PRY,Paraguay,21.588,36.9,3
TON,Tonga,25.409,35.0,3
GRD,Grenada,19.334,35.0,3
GUY,Guyana,18.885,35.0,2
BLZ,Belize,23.092,33.6,3
IRN,"Iran, Islamic Rep.",17.9,29.95,3
BTN,Bhutan,18.134,29.9,2
EGY,"Egypt, Arab Rep.",28.032,29.4,2
THA,Thailand,11.041,28.94,3
CUB,Cuba,10.4,27.93,3
FSM,"Micronesia, Fed. Sts.",23.511,27.8,2
SYR,Syrian Arab Republic,24.043,26.2,2
SWZ,Swaziland,30.093,24.7,2
SLV,El Salvador,17.476,23.1093,2
STP,Sao Tome and Principe,34.537,23.0,2
KGZ,Kyrgyz Republic,27.2,23.0,2
SDN,Sudan,33.477,22.7,2
LKA,Sri Lanka,17.863,21.9,2
MNG,Mongolia,24.275,20.0,3
YEM,"Yemen, Rep.",32.947,20.0,2
GTM,Guatemala,27.465,19.7,2
AGO,Angola,45.985,19.1,3
ZWE,Zimbabwe,35.715,18.5,1
HND,Honduras,21.593,17.8,2
DZA,Algeria,24.738,16.5,3
LBY,Libya,21.425,16.5,3
GNQ,Equatorial Guinea,35.362,16.4,4
UGA,Uganda,43.474,16.2,1
TJK,Tajikistan,30.792,16.0,2
NIC,Nicaragua,20.788,15.5,2
ZMB,Zambia,40.471,15.4,2
WSM,Samoa,26.172,15.3,2
IND,India,20.291,15.1,2
BWA,Botswana,25.267,15.0,3
IDN,Indonesia,20.297,14.94,2
SSD,South Sudan,37.126,14.1,1
GMB,"Gambia, The",42.525,14.0,1
NAM,Namibia,29.937,13.9,3
NPL,Nepal,20.923,13.3,1
SEN,Senegal,38.533,13.1,2
LAO,Lao PDR,27.051,12.5,2
GHA,Ghana,33.131,12.3,2
KIR,Kiribati,29.044,11.5,2
VUT,Vanuatu,26.739,11.3,2
PAK,Pakistan,29.582,10.9,2
HTI,Haiti,25.345,10.6,1
TKM,Turkmenistan,21.322,9.6,3
DJI,Djibouti,25.486,9.5,2
GAB,Gabon,30.555,9.2,3
IRQ,Iraq,31.093,9.2,3
BFA,Burkina Faso,40.551,9.1,1
RWA,Rwanda,32.689,9.0,1
CIV,Cote d'Ivoire,37.32,8.4,2
SLB,Solomon Islands,30.578,8.0,2
KHM,Cambodia,24.462,6.8,1
BGD,Bangladesh,20.142,6.63,2
COG,"Congo, Rep.",37.011,6.6,2
PNG,Papua New Guinea,28.899,6.5,2
COM,Comoros,34.326,6.5,1
CMR,Cameroon,37.236,6.4,2
MRT,Mauritania,33.801,6.2,2
AFG,Afghanistan,35.253,5.9,1
MOZ,Mozambique,39.705,5.4,1
MWI,Malawi,39.459,5.05,1
LSO,Lesotho,28.738,5.0,2
BEN,Benin,36.44,4.9,1
TGO,Togo,36.08,4.5,1
TZA,Tanzania,39.518,4.4,1
CAF,Central African Republic,34.076,3.5,1
MLI,Mali,44.138,3.5,1
LBR,Liberia,35.521,3.2,1
GNB,Guinea-Bissau,37.503,3.1,1
MDG,Madagascar,34.686,3.0,1
TCD,Chad,45.745,2.3,1
COD,"Congo, Dem. Rep.",42.394,2.2,1
ETH,Ethiopia,32.925,1.9,1
SLE,Sierra Leone,36.729,1.7,1
NER,Niger,49.661,1.7,1
MMR,Myanmar,18.119,1.6,2
GIN,Guinea,37.337,1.6,1
SOM,Somalia,43.891,1.5,1
BDI,Burundi,44.151,1.3,1
TLS,Timor-Leste,35.755,1.1,2
ERI,Eritrea,34.8,0.9,1
